年份,届次,题号,文件名,本地相对路径,大小KB,是否压缩包,备注
2025,第二十二届,A,A题-2-通用神经网络处理器下的核内调度问题.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\A题优秀论文\A题-2-通用神经网络处理器下的核内调度问题.pdf,4384,否,可直接阅读PDF
2025,第二十二届,A,A题-NPU 核内调度算法设计与优化研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\A题优秀论文\A题-NPU 核内调度算法设计与优化研究.pdf,3044,否,可直接阅读PDF
2025,第二十二届,A,A题-面向 Davinci 架构的 NPU 核内调度算法研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\A题优秀论文\A题-面向 Davinci 架构的 NPU 核内调度算法研究.pdf,6125,否,可直接阅读PDF
2025,第二十二届,B,B题-MIMO-OFDM 链路速率预测问题的建模研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\B题优秀论文\B题-MIMO-OFDM 链路速率预测问题的建模研究.pdf,6036,否,可直接阅读PDF
2025,第二十二届,B,B题-无线通信系统链路速率建模.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\B题优秀论文\B题-无线通信系统链路速率建模.pdf,5702,否,可直接阅读PDF
2025,第二十二届,B,B题-机器学习驱动的面向 MIMO-OFDM 的链路速率预测.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\B题优秀论文\B题-机器学习驱动的面向 MIMO-OFDM 的链路速率预测.pdf,5128,否,可直接阅读PDF
2025,第二十二届,C,C题-1-围岩裂隙精准识别与三维模型重构.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\C题优秀论文\C题-1-围岩裂隙精准识别与三维模型重构.pdf,2392,否,可直接阅读PDF
2025,第二十二届,C,C题-2-围岩裂隙精准识别与三维模型重构.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\C题优秀论文\C题-2-围岩裂隙精准识别与三维模型重构.pdf,15734,否,可直接阅读PDF
2025,第二十二届,C,C题-3-围岩裂隙精准识别与三维模型重构.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\C题优秀论文\C题-3-围岩裂隙精准识别与三维模型重构.pdf,15322,否,可直接阅读PDF
2025,第二十二届,C,C题-基于 Frangi 滤波的钻孔裂隙识别与三维概率重构.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\C题优秀论文\C题-基于 Frangi 滤波的钻孔裂隙识别与三维概率重构.pdf,8822,否,可直接阅读PDF
2025,第二十二届,C,C题-基于钻孔裂隙智能识别的岩体结构面网络重构与稳定性分区研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\C题优秀论文\C题-基于钻孔裂隙智能识别的岩体结构面网络重构与稳定性分区研究.pdf,4343,否,可直接阅读PDF
2025,第二十二届,D,D题-低空湍流监测及最优航路规划研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\D题优秀论文\D题-低空湍流监测及最优航路规划研究.pdf,8104,否,可直接阅读PDF
2025,第二十二届,D,D题-基于多源数据融合的低空湍流监测与航路优化.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\D题优秀论文\D题-基于多源数据融合的低空湍流监测与航路优化.pdf,19621,否,可直接阅读PDF
2025,第二十二届,E,E题-基于迁移学习的高速列车轴承故障诊断研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\E题优秀论文\E题-基于迁移学习的高速列车轴承故障诊断研究.pdf,19404,否,可直接阅读PDF
2025,第二十二届,E,E题-无监督迁移学习下的轴承故障诊断建模与优化.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\E题优秀论文\E题-无监督迁移学习下的轴承故障诊断建模与优化.pdf,7514,否,可直接阅读PDF
2025,第二十二届,E,E题-高速列车轴承智能故障诊断问题.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\E题优秀论文\E题-高速列车轴承智能故障诊断问题.pdf,2693,否,可直接阅读PDF
2025,第二十二届,F,F题-1-江南古典园林的美学特征建模.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\F题优秀论文\F题-1-江南古典园林的美学特征建模.pdf,17767,否,可直接阅读PDF
2025,第二十二届,F,F题-2-江南古典园林的美学特征建模.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\F题优秀论文\F题-2-江南古典园林的美学特征建模.pdf,21318,否,可直接阅读PDF
2025,第二十二届,F,F题-多模态数据融合视角下江南古典园林美学特征量化建模研究.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\F题优秀论文\F题-多模态数据融合视角下江南古典园林美学特征量化建模研究.pdf,9904,否,可直接阅读PDF
2025,第二十二届,F,F题-江南古典园林美学特征的量化建模与分析.pdf,2025年研究生数学建模竞赛优秀论文选\2025年研究生数学建模竞赛优秀论文选\F题优秀论文\F题-江南古典园林美学特征的量化建模与分析.pdf,29462,否,可直接阅读PDF
